iter	Logloss	Accuracy
0	0.6268111699	0.8129281574
1	0.5881795466	0.8251361321
2	0.5531704878	0.8270683295
3	0.5142184284	0.8367293167
4	0.4956991951	0.8369927982
5	0.4770344037	0.8387493413
6	0.4643700825	0.8367293167
7	0.4530595375	0.8324257861
8	0.4429175183	0.8394519585
9	0.4345127207	0.842525909
10	0.4265490667	0.8441067978
11	0.4120698192	0.8488494643
12	0.4056767876	0.8501668716
13	0.4006716559	0.8514842789
14	0.3950246992	0.8547338837
15	0.3901605335	0.8543825751
16	0.3840700073	0.8578078342
17	0.3795122454	0.8594765501
18	0.3750598477	0.8591252415
19	0.3703655485	0.8640435623
20	0.3661455646	0.8660635869
21	0.3624074367	0.8672053399
22	0.3582885213	0.8688740559
23	0.3543643827	0.8703671175
24	0.3506935919	0.873441068
25	0.3472375788	0.8726506236
26	0.3443012378	0.8749341296
27	0.3414124713	0.8754610926
28	0.338661801	0.8754610926
29	0.3359678873	0.8776567715
30	0.3333620153	0.8783593887
31	0.3308102128	0.8797646232
32	0.3282146188	0.8810820306
33	0.3258742958	0.8810820306
34	0.3238705343	0.8828385737
35	0.321341141	0.8822237836
36	0.3193820736	0.8827507465
37	0.3159019938	0.8847707711
38	0.3092451019	0.8871421043
39	0.3071687864	0.8872299315
40	0.3049551231	0.8890743018
41	0.3015443137	0.8901282276
42	0.2988654305	0.8911821535
43	0.296820068	0.891445635
44	0.2950741042	0.892587388
45	0.293684237	0.8935534867
46	0.2914537404	0.8955735113
47	0.289549962	0.8964517829
48	0.2875837432	0.8971544001
49	0.2858951217	0.8977691902
50	0.2840044121	0.8996135605
51	0.2828468394	0.9000526963
52	0.279594157	0.9003161778
53	0.2784484249	0.9011944493
54	0.2772804556	0.9013701036
55	0.2757454194	0.9015457579
56	0.2744715718	0.9018970666
57	0.2733142839	0.9023362024
58	0.2720037472	0.9043562269
59	0.2704647876	0.9052344985
60	0.2692338461	0.9053223257
61	0.2679871674	0.906639733
62	0.2666857803	0.9076058317
63	0.2655362882	0.9088354119
64	0.2643110986	0.9090110662
65	0.2632518545	0.909450202
66	0.2620676148	0.9095380292
67	0.2606140245	0.9098893378
68	0.2596350305	0.9101528193
69	0.2583859687	0.9106797822
70	0.2571063981	0.9112067451
71	0.2560328633	0.9119971895
72	0.2550306726	0.9124363253
73	0.2540308958	0.9132267697
74	0.2530886631	0.9133145969
75	0.2522479485	0.913402424
76	0.2510270709	0.9135780783
77	0.2500360647	0.9141928684
78	0.2490060236	0.9151589672
79	0.2480260837	0.9154224486
80	0.2467705721	0.9157737572
81	0.2458685591	0.916739856
82	0.2452036298	0.9171789917
83	0.2443566033	0.9171789917
84	0.2434779382	0.9171789917
85	0.2425978883	0.9177059547
86	0.2417936023	0.9177937818
87	0.2408359254	0.9184963991
88	0.2394081448	0.919550325
89	0.2386789011	0.9199894607
90	0.2377456575	0.9200772879
91	0.2369667974	0.9206042508
92	0.2360517833	0.9213946952
93	0.2348688828	0.922360794
94	0.2340751284	0.9230634112
95	0.2333917324	0.923502547
96	0.2319934962	0.9241173371
97	0.2311792902	0.9249956086
98	0.2303943721	0.9256103987
99	0.2296550888	0.9259617074
100	0.2287316709	0.9261373617
101	0.22793969	0.9268399789
102	0.2272932147	0.9273669419
103	0.2259984822	0.9271912875
104	0.2250972496	0.927454769
105	0.2240827019	0.9282452134
106	0.2229723789	0.9278060776
107	0.221997357	0.9284208677
108	0.2213181464	0.9289478307
109	0.2197933301	0.9290356578
110	0.2190324916	0.9294747936
111	0.2182305424	0.9301774109
112	0.2177178789	0.9305287195
113	0.2170080884	0.9311435096
114	0.2161873166	0.9321096083
115	0.215218983	0.9325487441
116	0.2144851988	0.9322852626
117	0.2137251201	0.9325487441
118	0.2130951682	0.9328122255
119	0.2127012307	0.933075707
120	0.211710769	0.9339539786
121	0.2110558977	0.9341296329
122	0.2101024139	0.9343052872
123	0.2097199148	0.9343052872
124	0.2091091215	0.9345687687
125	0.2081173179	0.9350079044
126	0.2075264642	0.9355348674
127	0.2065851554	0.9360618303
128	0.2060403774	0.9361496575
129	0.2045092446	0.9371157562
130	0.2039253499	0.9372035833
131	0.2032829947	0.9372914105
132	0.2026057772	0.9369401019
133	0.2017226522	0.9371157562
134	0.200841205	0.937554892
135	0.2002178824	0.9379940278
136	0.1994554314	0.9385209907
137	0.1989282761	0.9392236079
138	0.1982902678	0.9394870894
139	0.1980000321	0.9395749166
140	0.1976604515	0.9400140523
141	0.1970029136	0.9407166696
142	0.1961361696	0.9409801511
143	0.195487451	0.9408923239
144	0.1948525361	0.9410679782
145	0.1939495862	0.9413314597
146	0.1936667832	0.9414192868
147	0.193323304	0.9416827683
148	0.1928522085	0.9419462498
149	0.1920376512	0.9419462498
150	0.1914286952	0.9433514843
151	0.1907893868	0.9434393114
152	0.1903021106	0.9437027929
153	0.1894674621	0.9441419287
154	0.189185351	0.9440541015
155	0.1889358778	0.9437906201
156	0.1884617048	0.9436149657
157	0.1879881002	0.9434393114
158	0.1873189663	0.944317583
159	0.1870759411	0.9440541015
160	0.1863744714	0.9441419287
161	0.186066619	0.9440541015
162	0.1855938397	0.9442297558
163	0.184801537	0.9444932373
164	0.1843267342	0.9449323731
165	0.1836241542	0.9451958546
166	0.1833945062	0.9451958546
167	0.1826684403	0.9451080274
168	0.1821342411	0.9456349903
169	0.1817036513	0.9460741261
170	0.1810994129	0.9465132619
171	0.1808731605	0.9466010891
172	0.1805988369	0.9466010891
173	0.180386467	0.9465132619
174	0.180186236	0.9466010891
175	0.1795603441	0.9466010891
176	0.1792761526	0.9466889162
177	0.1787570871	0.9466889162
178	0.1782320739	0.9468645705
179	0.177572257	0.9472158791
180	0.1770425273	0.9476550149
181	0.1766672008	0.9481819779
182	0.1761656249	0.9487089408
183	0.1754011904	0.948796768
184	0.1751545545	0.9491480766
185	0.1746753649	0.9491480766
186	0.1741930122	0.9495872124
187	0.1734885547	0.9496750395
188	0.1732242986	0.9494993852
189	0.1730275775	0.9494115581
190	0.172522357	0.9500263481
191	0.1720262763	0.9501141753
192	0.1718343548	0.9501141753
193	0.1714281714	0.9502020025
194	0.1709382647	0.9506411382
195	0.1704007723	0.951080274
196	0.1701541598	0.9512559283
197	0.1697178066	0.9511681012
198	0.1691892625	0.9515194098
199	0.1684911676	0.9514315826
200	0.1683010695	0.9515194098
201	0.168071601	0.9518707184
202	0.1678935078	0.9518707184
203	0.1674212618	0.9519585456
