iter	Passed	Remaining
0	1817	1816150
1	3661	1827169
2	5434	1806004
3	7204	1793835
4	8966	1784398
5	10749	1780830
6	12527	1777045
7	14301	1773364
8	16075	1770123
9	17827	1764917
10	19581	1760557
11	21317	1755109
12	23061	1750868
13	24851	1750257
14	26582	1745583
15	28340	1742910
16	30073	1738927
17	31833	1736711
18	33569	1733231
19	35315	1730439
20	37058	1727646
21	38803	1725001
22	40572	1723446
23	42297	1720110
24	44045	1717764
25	45806	1715975
26	47591	1715044
27	49320	1712129
28	51054	1709428
29	52814	1707669
30	54549	1705115
31	56283	1702581
32	58006	1699754
33	59772	1698254
34	61501	1695694
35	63245	1693561
36	64981	1691277
37	66708	1688771
38	68486	1687584
39	70204	1684900
40	71966	1683323
41	73721	1681548
42	75477	1679821
43	77197	1677297
44	78927	1675014
45	80675	1673137
46	82405	1670895
47	84202	1670017
48	85996	1669027
49	87749	1667232
50	89477	1664987
51	91208	1662804
52	92938	1660622
53	94678	1658623
54	96449	1657171
55	98169	1654849
56	99934	1653307
57	101657	1651051
58	103391	1649014
59	105134	1647108
60	106877	1645212
61	108613	1643222
62	110331	1640966
63	112077	1639130
64	113806	1637058
65	115561	1635372
66	117334	1633924
67	119089	1632232
68	120830	1630334
69	122576	1628516
70	124352	1627084
71	126080	1625042
72	127837	1623360
73	129589	1621615
74	131327	1619707
75	133080	1617975
76	134826	1616168
77	136574	1614382
78	138311	1612472
79	140067	1610770
80	141792	1608730
81	143537	1606924
82	145262	1604883
83	147008	1603091
84	148750	1601255
85	150494	1599437
86	152250	1597760
87	154007	1596076
88	155761	1594372
89	157495	1592454
90	159223	1590481
91	160966	1588665
92	162694	1586707
93	164435	1584877
94	166160	1582894
95	167909	1581150
96	169644	1579263
97	171394	1577528
98	173164	1575971
99	174892	1574030
100	176653	1572388
101	178375	1570406
102	180124	1568654
103	181854	1566748
104	183621	1565155
105	185339	1563142
106	187064	1561204
107	188800	1559355
108	190530	1557453
109	192273	1555664
110	194028	1553977
111	195792	1552353
112	197516	1550413
113	199236	1548449
114	200963	1546546
115	202695	1544677
116	204453	1543010
117	206170	1541036
118	207923	1539335
119	209650	1537439
120	211382	1535580
121	213112	1533711
122	214847	1531882
123	216607	1530226
124	218321	1528249
125	220071	1526526
126	221798	1524647
127	223577	1523121
128	225303	1521234
129	227039	1519419
130	228783	1517656
131	230509	1515776
132	232237	1513908
133	233949	1511943
134	235687	1510148
135	237411	1508262
136	239159	1506533
137	240909	1504809
138	242624	1502878
139	244356	1501048
140	246078	1499159
141	247813	1497354
142	249546	1495533
143	251276	1493701
144	253006	1491864
145	254731	1490003
146	256472	1488240
147	258185	1486310
